294,00;294,00;294,00;294,00;294,00;294,00;294,00;294,00;294,00;294,00;294,00;294,00;294,00;294,00;294,00;294,00;294,00;294,00;294,00;294,00
326,00;326,00;321,00;321,00;317,00;312,00;308,00;308,00;303,00;298,00;294,00;280,00;271,00;262,00;258,00;253,00;249,00;244,00;240,00;240,00
344,00;344,00;339,00;339,00;326,00;317,00;308,00;298,00;289,00;276,00;262,00;235,00;217,00;204,00;199,00;199,00;199,00;199,00;194,00;194,00
357,00;353,00;353,00;339,00;321,00;303,00;285,00;267,00;244,00;222,00;204,00;176,00;158,00;149,00;149,00;149,00;145,00;136,00;140,00;140,00
362,00;362,00;352,00;326,00;276,00;249,00;226,00;204,00;181,00;158,00;140,00;118,00;104,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
357,00;357,00;348,00;298,00;244,00;208,00;176,00;154,00;136,00;118,00;104,00;83,00;73,00;70,00;71,00;74,00;77,00;77,00;77,00;78,00
353,00;348,00;326,00;267,00;217,00;176,00;145,00;117,00;100,00;86,00;78,00;72,00;60,00;57,00;58,00;60,00;60,00;60,00;61,00;62,00
339,00;335,00;303,00;231,00;172,00;127,00;104,00;89,00;79,00;70,00;62,00;51,00;45,00;44,00;45,00;46,00;45,00;45,00;46,00;47,00
326,00;321,00;280,00;190,00;136,00;100,00;82,00;71,00;62,00;54,00;48,00;39,00;34,00;34,00;34,00;35,00;36,00;36,00;37,00;38,00
289,00;280,00;222,00;127,00;86,00;65,00;54,00;44,00;38,00;34,00;25,00;23,00;22,00;23,00;24,00;24,00;24,00;24,00;24,00;25,00
253,00;235,00;163,00;85,00;53,00;38,00;31,00;25,00;23,00;20,00;18,00;15,00;15,00;14,00;15,00;15,00;16,00;16,00;17,00;17,00
217,00;194,00;122,00;60,00;35,00;25,00;22,00;19,00;16,00;15,00;13,00;9,90;9,00;9,00;9,90;11,00;11,00;12,00;12,00;13,00
190,00;163,00;90,00;43,00;26,00;20,00;16,00;14,00;12,00;9,90;9,00;7,40;7,00;7,10;7,50;8,30;8,70;9,00;9,00;9,90
163,00;136,00;73,00;31,00;20,00;15,00;12,00;9,90;9,00;8,30;7,70;5,40;4,80;4,90;5,40;6,10;7,00;7,70;8,30;8,50
145,00;109,00;60,00;24,00;16,00;12,00;9,00;8,20;7,70;6,80;6,10;4,30;3,20;3,30;3,70;4,30;5,20;6,50;6,90;7,10
127,00;94,00;47,00;18,00;14,00;9,90;7,70;6,90;6,10;5,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
113,00;77,00;36,00;15,00;11,00;9,00;8,00;6,50;5,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
104,00;68,00;30,00;11,00;8,30;6,40;5,10;4,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
95,00;60,00;24,00;8,50;6,50;5,20;4,30;3,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
87,00;53,00;21,00;7,10;5,30;4,40;3,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
83,00;47,00;17,00;6,10;4,40;3,60;3,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
78,00;42,00;15,00;5,20;3,70;3,10;2,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
73,00;38,00;12,00;4,30;3,20;2,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
69,00;34,00;9,90;3,80;3,50;2,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
65,00;32,00;9,00;3,30;2,40;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
62,00;29,00;8,00;3,00;2,10;1,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
59,00;26,00;7,10;2,60;1,90;1,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
56,00;24,00;6,30;2,40;1,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
53,00;22,00;5,60;2,10;1,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
